STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW10	2021-10-01 00:00:00	413.21	17.9	null	0.025	null	null	263	8.3	21.6625	null	null	null	null	null	null	CON	3.3625
NW10	2021-10-01 00:05:00	413.22	17.9	null	0.025	null	null	263	8.275	21.65	null	null	null	null	null	null	CON	3.3688
NW10	2021-10-01 00:10:00	413.22	17.9	null	0.025	null	null	263	8.275	21.6375	null	null	null	null	null	null	CON	3.3688
NW10	2021-10-01 00:15:00	413.22	18.37	null	0.025	null	null	263	8.275	21.625	null	null	null	null	null	null	CON	3.3688
NW10	2021-10-01 00:20:00	413.21	18.6	null	0.025	null	null	263	8.1	21.6125	null	null	null	null	null	null	CON	3.3625
NW10	2021-10-01 00:25:00	413.21	18.6	null	0.025	null	null	263	8.15	21.6	null	null	null	null	null	null	CON	3.3625
NW10	2021-10-01 00:30:00	413.21	18.83	null	0.025	null	null	263	8.275	21.5875	null	null	null	null	null	null	CON	3.3625
NW10	2021-10-01 00:35:00	413.21	19.07	null	0.025	null	null	263	8.275	21.575	null	null	null	null	null	null	CON	3.3625
NW10	2021-10-01 00:40:00	413.21	19.07	null	0.025	null	null	263	8.275	21.5625	null	null	null	null	null	null	CON	3.3625
NW10	2021-10-01 00:45:00	413.21	19.07	null	0.025	null	null	263	8.275	21.5375	null	null	null	null	null	null	CON	3.3625
NW10	2021-10-01 00:50:00	413.21	18.83	null	0.025	null	null	263	8.275	21.525	null	null	null	null	null	null	CON	3.3563
NW10	2021-10-01 00:55:00	413.21	18.6	null	0.025	null	null	263	8.275	21.5125	null	null	null	null	null	null	CON	3.3563
NW10	2021-10-01 01:00:00	413.21	18.6	null	0.025	null	null	263	8.275	21.5	null	null	null	null	null	null	CON	3.3563
NW10	2021-10-01 01:05:00	413.21	18.6	null	0.025	null	null	263	8.275	21.4875	null	null	null	null	null	null	CON	3.3563
NW10	2021-10-01 01:10:00	413.2	18.6	null	0.025	null	null	263	8.275	21.4625	null	null	null	null	null	null	CON	3.35
NW10	2021-10-01 01:15:00	413.2	17.9	null	0.025	null	null	263	8.275	21.45	null	null	null	null	null	null	CON	3.35
NW10	2021-10-01 01:20:00	413.19	17.9	null	0.025	null	null	262	8.1	21.4375	null	null	null	null	null	null	CON	3.3438
NW10	2021-10-01 01:25:00	413.19	17.2	null	0.025	null	null	263	8.175	21.425	null	null	null	null	null	null	CON	3.3438
NW10	2021-10-01 01:30:00	413.19	17.2	null	0.025	null	null	263	8.275	21.4125	null	null	null	null	null	null	CON	3.3438
NW10	2021-10-01 01:35:00	413.19	16.5	null	0.025	null	null	263	8.275	21.3875	null	null	null	null	null	null	CON	3.3438
NW10	2021-10-01 01:40:00	413.19	16.5	null	0.025	null	null	263	8.275	21.375	null	null	null	null	null	null	CON	3.3438
NW10	2021-10-01 01:45:00	413.19	16.5	null	0.025	null	null	263	8.275	21.3625	null	null	null	null	null	null	CON	3.3438
NW10	2021-10-01 01:50:00	413.19	16.27	null	0.025	null	null	263	8.275	21.35	null	null	null	null	null	null	CON	3.3375
NW10	2021-10-01 01:55:00	413.19	16.03	null	0.025	null	null	263	8.275	21.325	null	null	null	null	null	null	CON	3.3375
NW10	2021-10-01 02:00:00	413.19	16.03	null	0.025	null	null	263	8.275	21.3125	null	null	null	null	null	null	CON	3.3375
NW10	2021-10-01 02:05:00	413.19	16.27	null	0.025	null	null	263	8.275	21.3	null	null	null	null	null	null	CON	3.3375
NW10	2021-10-01 02:10:00	413.19	16.5	null	0.025	null	null	263	8.275	21.2875	null	null	null	null	null	null	CON	3.3375
NW10	2021-10-01 02:15:00	413.18	16.5	null	0.025	null	null	263	8.275	21.275	null	null	null	null	null	null	CON	3.3313
NW10	2021-10-01 02:20:00	413.18	16.5	null	0.025	null	null	263	8.1	21.25	null	null	null	null	null	null	CON	3.3313
NW10	2021-10-01 02:25:00	413.18	16.5	null	0.025	null	null	263	8.15	21.25	null	null	null	null	null	null	CON	3.3313
NW10	2021-10-01 02:30:00	413.18	17.2	null	0.025	null	null	263	8.25	21.225	null	null	null	null	null	null	CON	3.3313
NW10	2021-10-01 02:35:00	413.18	17.2	null	0.025	null	null	263	8.275	21.2125	null	null	null	null	null	null	CON	3.3313
NW10	2021-10-01 02:40:00	413.18	17.9	null	0.025	null	null	263	8.275	21.2	null	null	null	null	null	null	CON	3.325
NW10	2021-10-01 02:45:00	413.18	18.37	null	0.025	null	null	263	8.275	21.1875	null	null	null	null	null	null	CON	3.325
NW10	2021-10-01 02:50:00	413.18	18.6	null	0.025	null	null	263	8.275	21.175	null	null	null	null	null	null	CON	3.325
NW10	2021-10-01 02:55:00	413.18	19.07	null	0.025	null	null	263	8.225	21.15	null	null	null	null	null	null	CON	3.325
NW10	2021-10-01 03:00:00	413.18	19.3	null	0.025	null	null	263	8.2	21.1375	null	null	null	null	null	null	CON	3.325
NW10	2021-10-01 03:05:00	413.18	20	null	0.025	null	null	263	8.2	21.125	null	null	null	null	null	null	CON	3.325
NW10	2021-10-01 03:10:00	413.17	20.47	null	0.025	null	null	263	8.2	21.1125	null	null	null	null	null	null	CON	3.3188
NW10	2021-10-01 03:15:00	413.17	20.93	null	0.025	null	null	263	8.2	21.1	null	null	null	null	null	null	CON	3.3188
NW10	2021-10-01 03:20:00	413.17	21.4	null	0.025	null	null	263	8.025	21.0875	null	null	null	null	null	null	CON	3.3188
NW10	2021-10-01 03:25:00	413.16	22.1	null	0.025	null	null	263	8.075	21.075	null	null	null	null	null	null	CON	3.3125
NW10	2021-10-01 03:30:00	413.16	22.8	null	0.025	null	null	263	8.2	21.0625	null	null	null	null	null	null	CON	3.3125
NW10	2021-10-01 03:35:00	413.16	23.5	null	0.025	null	null	263	8.2	21.05	null	null	null	null	null	null	CON	3.3125
NW10	2021-10-01 03:40:00	413.16	24.2	null	0.025	null	null	263	8.2	21.0375	null	null	null	null	null	null	CON	3.3063
NW10	2021-10-01 03:45:00	413.16	24.9	null	0.025	null	null	263	8.2	21.0125	null	null	null	null	null	null	CON	3.3125
NW10	2021-10-01 03:50:00	413.16	25.6	null	0.025	null	null	263	8.2	21	null	null	null	null	null	null	CON	3.3063
NW10	2021-10-01 03:55:00	413.16	27	null	0.025	null	null	263	8.2	20.9875	null	null	null	null	null	null	CON	3.3063
NW10	2021-10-01 04:00:00	413.16	27.23	null	0.025	null	null	263	8.2	20.975	null	null	null	null	null	null	CON	3.3063
NW10	2021-10-01 04:05:00	413.16	27.7	null	0.025	null	null	263	8.2	20.9625	null	null	null	null	null	null	CON	3.3063
NW10	2021-10-01 04:10:00	413.15	28.17	null	0.025	null	null	263	8.2	20.95	null	null	null	null	null	null	CON	3.3
NW10	2021-10-01 04:15:00	413.15	29.1	null	0.025	null	null	263	8.2	20.9375	null	null	null	null	null	null	CON	3.3
NW10	2021-10-01 04:20:00	413.15	29.57	null	0.025	null	null	263	8	20.925	null	null	null	null	null	null	CON	3.3
NW10	2021-10-01 04:25:00	413.15	29.8	null	0.025	null	null	263	8.075	20.9125	null	null	null	null	null	null	CON	3.3
NW10	2021-10-01 04:30:00	413.15	29.8	null	0.025	null	null	263	8.2	20.9	null	null	null	null	null	null	CON	3.3
NW10	2021-10-01 04:35:00	413.14	29.57	null	0.025	null	null	263	8.2	20.9	null	null	null	null	null	null	CON	3.2938
NW10	2021-10-01 04:40:00	413.14	29.33	null	0.025	null	null	263	8.2	20.875	null	null	null	null	null	null	CON	3.2938
NW10	2021-10-01 04:45:00	413.14	29.1	null	0.025	null	null	263	8.2	20.8625	null	null	null	null	null	null	CON	3.2938
NW10	2021-10-01 04:50:00	413.14	29.1	null	0.025	null	null	263	8.2	20.8625	null	null	null	null	null	null	CON	3.2938
NW10	2021-10-01 04:55:00	413.14	29.1	null	0.025	null	null	263	8.2	20.8375	null	null	null	null	null	null	CON	3.2938
NW10	2021-10-01 05:00:00	413.14	28.87	null	0.025	null	null	263	8.2	20.825	null	null	null	null	null	null	CON	3.2875
NW10	2021-10-01 05:05:00	413.14	28.4	null	0.025	null	null	263	8.2	20.8125	null	null	null	null	null	null	CON	3.2875
NW10	2021-10-01 05:10:00	413.14	28.4	null	0.025	null	null	263	8.2	20.8	null	null	null	null	null	null	CON	3.2875
NW10	2021-10-01 05:15:00	413.13	27.7	null	0.025	null	null	263	8.2	20.7875	null	null	null	null	null	null	CON	3.2813
NW10	2021-10-01 05:20:00	413.14	27	null	0.025	null	null	263	8	20.7875	null	null	null	null	null	null	CON	3.2875
NW10	2021-10-01 05:25:00	413.13	26.3	null	0.025	null	null	263	8.075	20.775	null	null	null	null	null	null	CON	3.2813
NW10	2021-10-01 05:30:00	413.13	24.2	null	0.025	null	null	263	8.2	20.7625	null	null	null	null	null	null	CON	3.2813
NW10	2021-10-01 05:35:00	413.13	23.5	null	0.025	null	null	263	8.2	20.75	null	null	null	null	null	null	CON	3.2813
NW10	2021-10-01 05:40:00	413.13	22.8	null	0.025	null	null	263	8.2	20.7375	null	null	null	null	null	null	CON	3.2813
NW10	2021-10-01 05:45:00	413.13	22.1	null	0.025	null	null	263	8.2	20.7375	null	null	null	null	null	null	CON	3.275
NW10	2021-10-01 05:50:00	413.13	21.4	null	0.025	null	null	263	8.2	20.725	null	null	null	null	null	null	CON	3.275
NW10	2021-10-01 05:55:00	413.13	20.7	null	0.025	null	null	263	8.2	20.7125	null	null	null	null	null	null	CON	3.275
NW10	2021-10-01 06:00:00	413.13	20	null	0.025	null	null	263	8.2	20.7	null	null	null	null	null	null	CON	3.275
NW10	2021-10-01 06:05:00	413.13	19.3	null	0.025	null	null	264	8.2	20.7	null	null	null	null	null	null	CON	3.275
NW10	2021-10-01 06:10:00	413.13	18.6	null	0.025	null	null	263	8.2	20.6875	null	null	null	null	null	null	CON	3.275
NW10	2021-10-01 06:15:00	413.12	18.13	null	0.025	null	null	263	8.2	20.675	null	null	null	null	null	null	CON	3.2688
NW10	2021-10-01 06:20:00	413.12	17.67	null	0.025	null	null	263	8	20.6625	null	null	null	null	null	null	CON	3.2688
NW10	2021-10-01 06:25:00	413.12	17.2	null	0.025	null	null	263	8.05	20.6625	null	null	null	null	null	null	CON	3.2688
NW10	2021-10-01 06:30:00	413.13	16.73	null	0.025	null	null	263	8.175	20.65	null	null	null	null	null	null	CON	3.275
NW10	2021-10-01 06:35:00	413.13	16.27	null	0.025	null	null	263	8.2	20.6375	null	null	null	null	null	null	CON	3.275
NW10	2021-10-01 06:40:00	413.13	16.03	null	0.025	null	null	263	8.2	20.6375	null	null	null	null	null	null	CON	3.2813
NW10	2021-10-01 06:45:00	413.13	15.8	null	0.025	null	null	264	8.2	20.6375	null	null	null	null	null	null	CON	3.2813
NW10	2021-10-01 06:50:00	413.14	15.57	null	0.025	null	null	263	8.2	20.625	null	null	null	null	null	null	CON	3.2875
NW10	2021-10-01 06:55:00	413.14	15.33	null	0	null	null	263	8.2	20.6125	null	null	null	null	null	null	CON	3.2875
NW10	2021-10-01 07:00:00	413.14	14.87	null	0	null	null	263	8.2	20.6125	null	null	null	null	null	null	CON	3.2938
NW10	2021-10-01 07:05:00	413.15	14.63	null	0	null	null	263	8.2	20.6125	null	null	null	null	null	null	CON	3.3
