STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW07	2020-05-01 00:00:00	830.62	null	null	0	null	null	0	null	16.6	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:05:00	830.62	null	null	0	null	null	0	null	16.575	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:10:00	830.62	null	null	0	null	null	0	null	16.55	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:15:00	830.62	null	null	0	null	null	0	null	16.488	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:20:00	830.62	null	null	0	null	null	0	null	16.413	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:25:00	830.62	null	null	0	null	null	0	null	16.375	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:30:00	830.62	null	null	0	null	null	0	null	16.288	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:35:00	830.62	null	null	0	null	null	0	null	16.413	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:40:00	830.62	null	null	0	null	null	0	null	16.388	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:45:00	830.62	null	null	0	null	null	0	null	16.425	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:50:00	830.62	null	null	0	null	null	0	null	16.35	null	null	null	null	null	null	CON	0
NW07	2020-05-01 00:55:00	830.62	null	null	0	null	null	0	null	16.188	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:00:00	830.62	null	null	0	null	null	0	null	16.263	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:05:00	830.62	null	null	0	null	null	0	null	16.225	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:10:00	830.62	null	null	0	null	null	0	null	16.25	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:15:00	830.62	null	null	0	null	null	0	null	16.275	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:20:00	830.62	null	null	0	null	null	0	null	16.1	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:25:00	830.62	null	null	0	null	null	0	null	16.138	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:30:00	830.62	null	null	0	null	null	0	null	16.063	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:35:00	830.62	null	null	0	null	null	0	null	16.138	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:40:00	830.62	null	null	0	null	null	0	null	16.163	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:45:00	830.62	null	null	0	null	null	0	null	16.063	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:50:00	830.62	null	null	0	null	null	0	null	16.113	null	null	null	null	null	null	CON	0
NW07	2020-05-01 01:55:00	830.62	null	null	0	null	null	0	null	16.125	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:00:00	830.62	null	null	0	null	null	0	null	16.113	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:05:00	830.62	null	null	0	null	null	0	null	16.088	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:10:00	830.62	null	null	0	null	null	0	null	16.113	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:15:00	830.62	null	null	0	null	null	0	null	16.013	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:20:00	830.62	null	null	0	null	null	0	null	16	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:25:00	830.62	null	null	0	null	null	0	null	16.038	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:30:00	830.62	null	null	0	null	null	0	null	15.925	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:35:00	830.62	null	null	0	null	null	0	null	15.963	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:40:00	830.62	null	null	0	null	null	0	null	16.038	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:45:00	830.62	null	null	0	null	null	0	null	15.963	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:50:00	830.62	null	null	0	null	null	0	null	15.863	null	null	null	null	null	null	CON	0
NW07	2020-05-01 02:55:00	830.62	null	null	0	null	null	0	null	15.775	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:00:00	830.62	null	null	0	null	null	0	null	15.875	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:05:00	830.62	null	null	0	null	null	0	null	15.9	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:10:00	830.62	null	null	0	null	null	0	null	15.938	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:15:00	830.62	null	null	0	null	null	0	null	15.938	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:20:00	830.62	null	null	0	null	null	0	null	15.9	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:25:00	830.62	null	null	0	null	null	0	null	15.813	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:30:00	830.62	null	null	0	null	null	0	null	15.825	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:35:00	830.62	null	null	0	null	null	0	null	15.85	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:40:00	830.62	null	null	0	null	null	0	null	15.863	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:45:00	830.62	null	null	0	null	null	0	null	15.688	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:50:00	830.62	null	null	0	null	null	0	null	15.663	null	null	null	null	null	null	CON	0
NW07	2020-05-01 03:55:00	830.62	null	null	0	null	null	0	null	15.775	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:00:00	830.62	null	null	0	null	null	0	null	15.75	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:05:00	830.62	null	null	0	null	null	0	null	15.775	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:10:00	830.62	null	null	0	null	null	0	null	15.763	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:15:00	830.62	null	null	0	null	null	0	null	15.763	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:20:00	830.62	null	null	0	null	null	0	null	15.688	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:25:00	830.62	null	null	0	null	null	0	null	15.625	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:30:00	830.62	null	null	0	null	null	0	null	15.7	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:35:00	830.62	null	null	0	null	null	0	null	15.7625	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:40:00	830.62	null	null	0	null	null	0	null	15.8	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:45:00	830.62	null	null	0	null	null	0	null	15.8375	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:50:00	830.62	null	null	0	null	null	0	null	15.85	null	null	null	null	null	null	CON	0
NW07	2020-05-01 04:55:00	830.62	null	null	0	null	null	0	null	15.9	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:00:00	830.62	null	null	0	null	null	0	null	15.9	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:05:00	830.62	null	null	0	null	null	0	null	15.95	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:10:00	830.62	null	null	0	null	null	0	null	15.925	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:15:00	830.62	null	null	0	null	null	0	null	15.8875	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:20:00	830.62	null	null	0	null	null	0	null	15.9375	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:25:00	830.62	null	null	0	null	null	0	null	15.9625	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:30:00	830.62	null	null	0	null	null	0	null	15.95	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:35:00	830.62	null	null	0	null	null	0	null	15.9875	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:40:00	830.62	null	null	0	null	null	0	null	16.05	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:45:00	830.62	null	null	0	null	null	0	null	15.95	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:50:00	830.62	null	null	0	null	null	0	null	16.05	null	null	null	null	null	null	CON	0
NW07	2020-05-01 05:55:00	830.62	null	null	0	null	null	0	null	16.075	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:00:00	830.62	null	null	0	null	null	0	null	16.125	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:05:00	830.62	null	null	0	null	null	0	null	16.175	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:10:00	830.62	null	null	0	null	null	0	null	16.125	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:15:00	830.62	null	null	0	null	null	0	null	16.1625	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:20:00	830.62	null	null	0	null	null	0	null	16.3	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:25:00	830.62	null	null	0	null	null	0	null	16.3625	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:30:00	830.62	null	null	0	null	null	0	null	16.45	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:35:00	830.62	null	null	0	null	null	0	null	16.55	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:40:00	830.62	null	null	0	null	null	0	null	16.5875	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:45:00	830.62	null	null	0	null	null	0	null	16.7125	null	null	null	null	null	null	CON	0
NW07	2020-05-01 06:50:00	830.62	null	null	0	null	null	0	null	16.8	null	null	null	null	null	null	CON	0
