STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW24	2021-09-01 00:00:00	440.56	null	null	0	null	null	0	null	22.55	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:05:00	440.56	null	null	0	null	null	0	null	22.5625	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:10:00	440.56	null	null	0	null	null	0	null	22.55	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:15:00	440.56	null	null	0	null	null	0	null	22.5375	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:20:00	440.56	null	null	0	null	null	0	null	22.5375	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:25:00	440.56	null	null	0	null	null	0	null	22.55	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:30:00	440.56	null	null	0	null	null	0	null	22.5375	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:35:00	440.56	null	null	0	null	null	0	null	22.525	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:40:00	440.56	null	null	0	null	null	0	null	22.4875	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:45:00	440.56	null	null	0	null	null	0	null	22.475	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:50:00	440.56	null	null	0	null	null	0	null	22.4625	null	null	null	null	null	null	CON	0
NW24	2021-09-01 00:55:00	440.56	null	null	0	null	null	0	null	22.45	null	null	null	null	null	null	CON	0
NW24	2021-09-01 01:00:00	440.56	null	null	0	null	null	0	null	22.4375	null	null	null	null	null	null	CON	0
NW24	2021-09-01 01:05:00	440.56	null	null	0	null	null	0	null	22.4125	null	null	null	null	null	null	CON	0
NW24	2021-09-01 01:10:00	440.56	null	null	0	null	null	0	null	22.425	null	null	null	null	null	null	CON	0
NW24	2021-09-01 01:15:00	440.56	null	null	0	null	null	0	null	22.4	null	null	null	null	null	null	CON	0
NW24	2021-09-01 01:20:00	440.56	null	null	0	null	null	0	null	22.4125	null	null	null	null	null	null	CON	0
NW24	2021-09-01 01:25:00	440.56	null	null	0	null	null	0	null	22.4125	null	null	null	null	null	null	CON	0
NW24	2021-09-01 01:30:00	440.56	null	null	0	null	null	0	null	22.425	null	null	null	null	null	null	CON	0
NW24	2021-09-01 01:35:00	440.56	null	null	0	null	null	0	null	22.4125	null	null	null	null	null	null	CON	0
