,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RI_Type,RI_Type,RI_Type,RI_Type,RI_Type,3年平均,,,,,
斜坡單元編號,,RI指標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(2013~2016),(2014~2017),(2015~2018),(2016~2019),(2017~2020),RI_2017,RI_2018,RI_2019,RI_2020,,RI_Type(2017~2020)
s001,RI_2013,RI_2014,RI_2015,RI_2016,RI_2017,RI_2018,RI_2019,RI_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,,1
s002,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,-1,-0.5,0,0,,2
s003,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,,1
s004,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,,1
s005,#DIV/0!,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,,1
s006,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.112097669,-0.05514316,-0.002150538,0.023148148,,4
s007,0.653562654,0.66122449,0.119047619,0.38410596,-0.488135593,0.031358885,0.38071066,0.941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,-0.044581842,-0.006459948,-0.009967846,0.050210674,,4
s008,0.824146982,-0.116009281,0.107969152,0.454205607,-0.405345212,0.01920904,0.092171717,1.527472527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0.020895522,0.024464832,0.3625,-0.168627451,,2
s009,4.185185185,-0.08988764,-0.49132948,#DIV/0!,-1,-0.086419753,-0.069767442,2.866666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,-0.014823261,0.045346062,0.058080808,-0.175057208,,2
s010,1.305732484,-0.168316832,-0.025806452,#DIV/0!,-1,0,0,1.353658537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,-0.524390244,-0.388059701,-0.209677419,-0.023622047,,2
s011,17.61111111,0.9,0,#DIV/0!,-1,0,0,9.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0.255813953,0.258536585,0.393103448,-0.134751773,,2
s012,0.808,0.384615385,-0.071428571,9.888888889,-0.85,0.578947368,-0.078947368,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.072747014,-0.028451001,0.042128603,0.125159642,,2
