,,崩塌地面積(公頃),,,,,,,,新增崩塌地面積(公頃),,,,,,,,崩塌復育地面積(公頃),,,,,,,,,,RI指標,,,,,,,,RI_Type,RI_Type,RI_Type,RI_Type,RI_Type,3年平均,,,,,
斜坡單元編號,,25,26,27,28,29,30,31,32,25,26,27,28,29,30,31,32,25,26,27,28,29,30,31,32,,RI_2013,RI_2014,RI_2015,RI_2016,RI_2017,RI_2018,RI_2019,RI_2020,,(2013~2016),(2014~2017),(2015~2018),(2016~2019),(2017~2020),RI_2017,RI_2018,RI_2019,RI_2020,,RI_Type(2017~2020)
s001,21.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,1,1,1,0,0,0,0,,1
s002,57.7,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,,0,0,0,0,-1,0,0,0,,,,6,4,1,-1,-0.5,0,0,,2
s003,34.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.88,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,1,1,1,0,0,0,0,,1
s004,53.29,0,,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,1.32,0,0,0,0.02,0,0,0,,0,0,0,-1,0,0,0,0,,,,,2,1,0,0,0,0,,1
s005,31.63,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,,1
s006,154.51,4.07,2.45,2.1,1.51,2.95,2.87,1.97,0.85,2.2,0.85,0.44,0.63,2.01,0.23,0.66,0.3,4.86,2.47,0.69,1.21,0.57,0.32,1.41,1.1,,0.653562654,0.66122449,0.119047619,0.38410596,-0.488135593,0.031358885,0.38071066,0.941176471,,,,,2,2,0.112097669,-0.05514316,-0.002150538,0.023148148,,4
s007,64.27,,8.62,7.78,5.35,8.98,8.85,7.92,2.73,1.28,2.12,1.36,0.48,4.07,0.72,1.31,0.34,7.56,1.12,2.2,2.91,0.43,0.89,2.04,4.51,,0.824146982,-0.116009281,0.107969152,0.454205607,-0.405345212,0.01920904,0.092171717,1.527472527,,,,,5,2,-0.044581842,-0.006459948,-0.009967846,0.050210674,,4
s008,34.32,0.81,0.89,1.73,0,0.73,0.81,0.86,0.15,0.3,0.48,1.61,0,0.73,0.08,0.08,0.01,3.69,0.4,0.76,1.73,0,0.01,0.02,0.44,,4.185185185,-0.08988764,-0.49132948,#DIV/0!,-1,-0.086419753,-0.069767442,2.866666667,,,,,4,2,0.020895522,0.024464832,0.3625,-0.168627451,,2
s009,29.21,3.14,3.03,3.1,0,2.64,2.64,2.64,0.82,0.84,1.16,0.61,0,2.64,0,0,0.28,4.94,0.65,0.53,3.1,0,0,0,1.39,,1.305732484,-0.168316832,-0.025806452,#DIV/0!,-1,0,0,1.353658537,,,,,4,2,-0.014823261,0.045346062,0.058080808,-0.175057208,,2
s010,16.68,0.18,0.1,0.1,0,0.62,0.62,1.24,0.06,0.02,0.08,0,0,0.62,0,0,0.01,3.19,0.17,0,0.1,0,0,0,0.57,,17.61111111,0.9,0,#DIV/0!,-1,0,0,9.333333333,,,,,4,2,-0.524390244,-0.388059701,-0.209677419,-0.023622047,,2
s011,23.27,1.25,,0.98,0.09,0.6,0.38,0.38,0.05,0.18,0.22,0.45,0.03,0.54,0.04,0.33,0.04,1.19,0.57,0.38,0.92,0.03,0.26,0.3,0.17,,0.808,0.384615385,-0.071428571,9.888888889,-0.85,0.578947368,-0.078947368,2.6,,,,,5,2,0.255813953,0.258536585,0.393103448,-0.134751773,,2
s012,66.62,3.31,2.37,2.18,2.02,2.64,2.65,1.71,0.83,1.85,0.79,0.01,0.61,1.08,0.43,0.12,0.25,3.82,1.73,0.2,0.76,0.47,0.43,0.96,1,,0.595166163,0.396624473,0.087155963,0.074257426,-0.231060606,0,0.49122807,0.903614458,,,,,2,2,0.072747014,-0.028451001,0.042128603,0.125159642,,2
s013,144.4,1.94,2.04,2.21,0.21,1.36,1.11,2.11,0.35,0.72,0.65,0.16,0.08,1.23,0,0,0.09,5.99,0.54,0,2.07,0.08,0.25,0,1.03,,2.716494845,-0.053921569,-0.07239819,9.476190476,-0.845588235,0.225225225,0,2.685714286,,,,,5,2,0.097938144,0.190184049,0.227557411,0.00811359,,2
s014,72.44,2.36,2.24,2.54,1.03,1.43,1.48,1.77,1.07,0.94,0.5,1.65,0.55,0.63,0.33,0.28,0.51,5.53,0.62,1.35,2.06,0.82,0.28,0.47,1.02,,1.944915254,0.053571429,-0.118110236,1.466019417,0.132867133,-0.033783784,0.107344633,0.476635514,,,,,5,1,0.209944751,0.208333333,0.322241681,0.146086957,,2
